SYSCALL_PRN VALUE=111| TID=1 | PC=1001 | IE=52 
SYSCALL_PRN VALUE=221| TID=2 | PC=2001 | IE=159 
SYSCALL_PRN VALUE=100| TID=3 | PC=3059 | IE=603 
SYSCALL_PRN VALUE=101| TID=3 | PC=3059 | IE=855 
SYSCALL_PRN VALUE=112| TID=1 | PC=1004 | IE=965 
SYSCALL_PRN VALUE=222| TID=2 | PC=2004 | IE=1072 
SYSCALL_PRN VALUE=102| TID=3 | PC=3059 | IE=1194 
SYSCALL_PRN VALUE=103| TID=3 | PC=3059 | IE=1507 
SYSCALL_PRN VALUE=104| TID=3 | PC=3059 | IE=1698 
SYSCALL_PRN VALUE=111| TID=1 | PC=1001 | IE=52 
SYSCALL_PRN VALUE=221| TID=2 | PC=2001 | IE=159 
SYSCALL_PRN VALUE=100| TID=3 | PC=3059 | IE=603 
SYSCALL_PRN VALUE=101| TID=3 | PC=3059 | IE=855 
SYSCALL_PRN VALUE=112| TID=1 | PC=1004 | IE=965 
SYSCALL_PRN VALUE=222| TID=2 | PC=2004 | IE=1072 
SYSCALL_PRN VALUE=102| TID=3 | PC=3059 | IE=1194 
SYSCALL_PRN VALUE=103| TID=3 | PC=3059 | IE=1507 
SYSCALL_PRN VALUE=104| TID=3 | PC=3059 | IE=1698 
SYSCALL_PRN VALUE=111| TID=1 | PC=1001 | IE=52 
SYSCALL_PRN VALUE=221| TID=2 | PC=2001 | IE=159 
SYSCALL_PRN VALUE=100| TID=3 | PC=3059 | IE=603 
SYSCALL_PRN VALUE=101| TID=3 | PC=3059 | IE=855 
SYSCALL_PRN VALUE=112| TID=1 | PC=1004 | IE=965 
SYSCALL_PRN VALUE=222| TID=2 | PC=2004 | IE=1072 
SYSCALL_PRN VALUE=102| TID=3 | PC=3059 | IE=1194 
SYSCALL_PRN VALUE=111| TID=1 | PC=1001 | IE=52 
SYSCALL_PRN VALUE=221| TID=2 | PC=2001 | IE=159 
SYSCALL_PRN VALUE=100| TID=3 | PC=3059 | IE=603 
SYSCALL_PRN VALUE=101| TID=3 | PC=3059 | IE=855 
SYSCALL_PRN VALUE=112| TID=1 | PC=1004 | IE=965 
SYSCALL_PRN VALUE=222| TID=2 | PC=2004 | IE=1072 
SYSCALL_PRN VALUE=102| TID=3 | PC=3059 | IE=1194 
SYSCALL_PRN VALUE=103| TID=3 | PC=3059 | IE=1507 
SYSCALL_PRN VALUE=104| TID=3 | PC=3059 | IE=1698 
SYSCALL_PRN VALUE=111| TID=1 | PC=1001 | IE=52 
SYSCALL_PRN VALUE=221| TID=2 | PC=2001 | IE=159 
SYSCALL_PRN VALUE=100| TID=3 | PC=3059 | IE=603 
SYSCALL_PRN VALUE=101| TID=3 | PC=3059 | IE=855 
SYSCALL_PRN VALUE=112| TID=1 | PC=1004 | IE=965 
SYSCALL_PRN VALUE=222| TID=2 | PC=2004 | IE=1072 
SYSCALL_PRN VALUE=102| TID=3 | PC=3059 | IE=1194 
SYSCALL_PRN VALUE=103| TID=3 | PC=3059 | IE=1507 
SYSCALL_PRN VALUE=104| TID=3 | PC=3059 | IE=1698 
